"display_order","source_question_id","jotform_qid","jotform_field","gift_id","gift_name","current_question","app_question_used_now","risk_type","review_note","draft_rewrite_for_future_review"
"1","ADMIN_Q1","16","q1","ADMIN","Administration","I like organizing services and events.","I like organizing services and events.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"2","APOST_Q1","19","q2","APOST","Apostleship","I enjoy starting new churches.","I enjoy starting new churches.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"3","CRAFT_Q1","23","q3","CRAFT","Craftsmanship","Working with my hands is fun for me.","Working with my hands is fun for me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"4","DISC_Q1","26","q4","DISC","Discernment","I can tell when someone is insincere.","I can tell when someone is insincere.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"5","EVANG_Q1","31","q5","EVANG","Evangelism","I pray for the lost daily.","I pray for the lost daily.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"6","EXHORT_Q1","34","q6","EXHORT","Exhortation","Encouraging others is a high priority in my life.","Encouraging others is a high priority in my life.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"7","FAITH_Q1","36","q7","FAITH","Faith","Believing God for my daily needs is important to me.","Believing God for my daily needs is important to me.","broad Christian virtue","Likely reflects healthy discipleship more than the specific gift of Faith.","Others are strengthened when I trust God for specific outcomes that feel beyond normal planning or control."
"8","GIVE_Q1","38","q8","GIVE","Giving","Influencing others for the kingdom of God through finance is extremely important to me.","Influencing others for the kingdom of God through finance is extremely important to me.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"9","HEAL_Q1","40","q9","HEAL","Healing","I look for opportunities to pray for the sick.","I look for opportunities to pray for the sick.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
"10","HELPS_Q1","42","q10","HELPS","Helps","I enjoy doing the little things that others do not.","I enjoy doing the little things that others do not.","preference wording","May measure interest or preference before evidence of spiritual fruit.","Consider rewriting around affirmed fruit, repeated service, or Spirit-led impact."
"11","HOSP_Q1","44","q11","HOSP","Hospitality","Having people over to my house is something I do often.","Having people over to my house is something I do often.","review","Usable for parity now; review later for leading language and actual fruit.","Review with John before replacing live wording."
